District,Zone,Latitude,Longitude
Nicobar,Green,9.1573,92.7611
North and Middle Andaman,Green,12.9850,93.4618
Anjaw,Green,27.9941,96.8382
Changlang,Green,27.1200,95.7100
East Kameng,Green,27.4407,92.9262
East Siang,Green,28.0667,95.3333
Kamle,Green,28.2180,31.4798
Kra Daadi,Green,27.9892,98.7882
Kurung Kumey,Green,27.7995,93.5538
Lepa Rada,Green,28.1298,94.1377
Lohit,Green,27.9133,96.2312
Longding,Green,26.8840,95.3514
Lower Dibang Valley,Green,28.2550,95.8494
Lower Siang,Green,28.5137,94.3598
Lower Subansiri,Green,27.6764,93.9435
Namsai,Green,27.6689,95.8714
Pakke Kessang,Green,27.2046,93.1125
Papum Pare,Green,27.1710,93.7020
Shi Yomi,Green,28.1277,94.6979
East Siang,Green,28.0667,95.3333
Tawang,Green,27.5883,91.8653
Tirap,Green,26.9782,95.4695
Upper Dibang Valley,Green,28.8129,96.1520
Upper Siang,Green,28.8797,94.7970
Upper Subansiri,Green,28.0823,93.8922
West Kameng,Green,27.3819,92.4609
West Siang,Green,27.6898,94.4629
Baksa,Green,26.6930,91.5980
Barpeta,Green,26.3200,91.0000
Biswanath Chariali,Green,26.7278,93.1517
Charaideo,Green,27.0250,94.9917
Tsirang,Green,27.0322,90.1870
Darrang,Green,26.5659,92.0469
Dhemaji,Green,27.4800,94.5800
Dibrugarh,Green,27.4800,95.0000
Dima Hasao,Green,25.3400,93.0100
Golaghat,Green,26.5200,93.9700
Hailakandi,Green,24.6800,92.5700
Hojai,Green,26.0000,92.8700
Jorhat,Green,26.7500,94.2200
Kamrup,Green,26.3161,91.5984
Karbi Anglong,Green,26.0075,93.3286
Karimganj,Green,24.6005,92.3814
Kokrajhar,Green,26.4000,90.2700
Lakhimpur,Green,27.2064,94.1514
Majuli,Green,26.9500,94.1667
Nagaon,Green,26.3504,92.6796
Nalbari,Green,26.4200,91.4300
Sivasagar,Green,27.0031,94.6450
Sonitpur,Green,26.6300,92.8000
South Salmara Mankachar,Green,25.8876,90.0151
Tinsukia,Green,27.5291,95.6458
Odalguri,Green,26.7452,92.0962
West Karbi Anglong,Green,26.0000,93.5000
Araria,Green,26.1108,87.3016
Jamui,Green,24.7647,86.3377
Sitamarhi,Green,26.6322,85.5200
West Champaran,Green,27.1543,84.3542
Balod,Green,20.7300,81.2000
Baloda Bazar,Green,21.6700,82.1700
Balrampur,Green,23.6100,83.6100
Bemetara,Green,21.7000,81.5300
Bastar,Green,19.1071,81.9535
Bijapur,Green,18.8600,80.7210
Bilaspur,Green,22.0904,82.1600
Dakshin Bastar Dantewada,Green,18.8456,81.3839
Dhamtari,Green,20.7100,81.5500
Durg,Green,21.1900,81.2800
Gariaband,Green,20.6307,82.0699
Janjgir Champa,Green,21.9706,82.4753
Jashpur,Green,22.7875,83.8473
Kabirdham,Green,22.0991,81.2519
Kondagaon,Green,19.6000,81.6700
Koriya,Green,23.3875,82.3886
Mahasamund,Green,21.1000,82.1000
Mungeli,Green,22.0700,81.6800
Narayanpur,Green,19.7196,81.2472
Raigarh,Green,21.9000,83.4000
Rajnandgaon,Green,21.1000,81.0300
Sukma,Green,18.4000,81.6667
Surajpur,Green,23.2200,82.8500
Surguja,Green,22.9494,83.1649
Uttar Bastar Kanker,Green,20.2642,81.4980
Daman and Diu,Green,20.4283,72.8397
North Goa,Green,15.5163,73.9830
