District,Zone,Latitude,Longitude
Nicobar,Green,9.1573,92.7611
North and Middle Andaman,Green,12.9850,93.4618
South Andaman,Red,11.4102,93.0392
Anantapur,Orange,14.6819,77.6006
Chittoor,Red,13.2000,79.1167
East Godavari,Orange,17.1606,82.0555
Guntur,Red,16.3300,80.4500
Krishna,Red,16.6100,80.1001
Kurnool,Red,15.8300,78.0300
Prakasam,Orange,15.6360,79.6078
S.P.S. Nellore,Red,14.4022,79.9557
Srikakulam,Orange,18.2970,83.8968
Visakhapatnam,Orange,17.6868,83.2185
Vizianagaram,Orange,18.1204,83.5000
West Godavari,Orange,16.9174,81.3399
Y.S.R. Kadapa,Orange,14.4647,78.7801
Anjaw,Green,27.9941,96.8382
Changlang,Green,27.1200,95.7100
East Kameng,Green,27.4407,92.9262
East Siang,Green,28.0667,95.3333
Kamle,Green,28.2180,31.4798
Kra Daadi,Green,27.9892,98.7882
Kurung Kumey,Green,27.7995,93.5538
Lepa Rada,Green,28.1298,94.1377
Lohit,Green,27.9133,96.2312
Longding,Green,26.8840,95.3514
Lower Dibang Valley,Green,28.2550,95.8494
Lower Siang,Green,28.5137,94.3598
Lower Subansiri,Green,27.6764,93.9435
Namsai,Green,27.6689,95.8714
Pakke Kessang,Green,27.2046,93.1125
Papum Pare,Green,27.1710,93.7020
Shi Yomi,Green,28.1277,94.6979
East Siang,Green,28.0667,95.3333
Tawang,Green,27.5883,91.8653
Tirap,Green,26.9782,95.4695
Upper Dibang Valley,Green,28.8129,96.1520
Upper Siang,Green,28.8797,94.7970
Upper Subansiri,Green,28.0823,93.8922
West Kameng,Green,27.3819,92.4609
West Siang,Green,27.6898,94.4629
Baksa,Green,26.6930,91.5980
Barpeta,Green,26.3200,91.0000
Biswanath Chariali,Green,26.7278,93.1517
Bongaigaon,Red,26.4800,90.5600
Cachar,Orange,25.4561,93.0015
Charaideo,Green,27.0250,94.9917
Tsirang,Green,27.0322,90.1870
Darrang,Green,26.5659,92.0469
Dhemaji,Green,27.4800,94.5800
Dhubri,Orange,26.0200,90.0000
Dibrugarh,Green,27.4800,95.0000
Dima Hasao,Green,25.3400,93.0100
Goalpara,Orange,26.1700,90.6200
Golaghat,Green,26.5200,93.9700
Hailakandi,Green,24.6800,92.5700
Hojai,Green,26.0000,92.8700
Jorhat,Green,26.7500,94.2200
Kamrup,Green,26.3161,91.5984
Kamrup Metropolitan,Orange,26.0790,91.6370
Karbi Anglong,Green,26.0075,93.3286
Karimganj,Green,24.6005,92.3814
Kokrajhar,Green,26.4000,90.2700
Lakhimpur,Green,27.2064,94.1514
Majuli,Green,26.9500,94.1667
Marigaon,Orange,26.2533,92.3424
Nagaon,Green,26.3504,92.6796
Nalbari,Green,26.4200,91.4300
Sivasagar,Green,27.0031,94.6450
Sonitpur,Green,26.6300,92.8000
South Salmara Mankachar,Green,25.8876,90.0151
Tinsukia,Green,27.5291,95.6458
Odalguri,Green,26.7452,92.0962
West Karbi Anglong,Green,26.0000,93.5000
Araria,Green,26.1108,87.3016
Arwal,Orange,25.1643,84.6688
Aurangabad,Orange,24.7704,84.3800
Banka,Orange,24.8800,86.9200
Begusarai,Orange,25.4167,86.1333
Bhagalpur,Orange,25.2500,87.0000
Bhojpur,Orange,25.4662,84.5222
Buxar,Red,25.4988,84.1435
Darbhanga,Orange,26.0000,86.0000
East Champaran,Orange,26.6098,84.8568
